Назив јединице локалне самоуправе|Адреса јединице локалне самоуправе|Име и презиме градоначелника/ председника општине|Контакт телефон градоначелника/председника општине|Email адреса градоначелника/председника општине|Име и презиме председника скупштине|Контакт телефон председника скупштине|Email адреса председника скупштине|Име и презиме начелника општинске/градске управе|Контакт телефон начелника општинске/градске управе|Email адреса начелника општинске/градске управе
Ада|24430 Ада, Трг ослобођења 1|Золтан Билицки|024/851-986|predsednik@ada.org.rs|Jожеф Тобиаш|024/852-106|predsednikso@ada.org.rs|Роберт Ваштаг|024/852-106|nacelnik@ada.org.rs
Александровац|ул.Јаше Петровића бр.26 37230 Александровац|Мирко Михајловић|037/3552-275|kabinet@aleksandrovac.rs|Славољуб Миљковић|037/3552-275|predsednikskupstine@aleksandrovac.rs|Милан Минић|037/3554-560|nacelnik@aleksandrovac.rs
Алексинац|Књаза Милоша бр.169 ,18220 Алексинац|Далибор Радичевић|018/809-002|predsednik@aleksinac.org|Ненад Станковић|018/809-003|predsednik.skupstina@aleksinac.org|Дејан Милошевић|018/809-006|nacelnik@aleksinac.org
Алибунар|Трг Слободе 4, 26310 Алибунар|Зорана Братић|013/642-105|predsednik@alibunar.org.rs|Александар Сивери|013/641-038|tehnickisekretarsoalibunar@gmail.com|Сања Жебељан|013/641-225|uprava@alibunar.org.rs
Апатин|Српских владара 29 25260 Апатин|Дубравка Кораћ|025/773-131|kabinet@soapatin.org|Милан Шкрбић|025/772-122 lokal 504|milan.skrbic@apatin.rs|v.d Немања Павловић|025/772-122 lokal 508|nacelnik@soapatin.org
Аранђеловац|"Венац Слободе 10
34000"|Бојан Радовић|034/711-722|kabinet@arandjelovac.rs|Никола Обрадовић|034/711-722|nikobrad08@gmail.com|Негослав Петронијевић|037/711-311|nacelnik@arandjelovac.rs
Ариље|Светог Ахилија број 53, 31230 Ариље|Предраг Маслар|031/3150-111|predsednik@arilje.org.rs|Миљана Аћимовић Стефановић|031/3150-113|predsednikso@arilje.org.rs|Драгана Ерић|031/3150-117|nacelnik@arilje.org.rs
Бабушница|Ратка Павловића 1, 18330 Бабушница|Ивана Стојичић|010/385-112|kabinet@babusnica.rs|Далибор Јоцић|010/385-112|skupstina@babusnica.rs|Јована Радовановић|010/385-112|nacelnik@babusnica.rs
Бајина Башта|Душана Вишић 28, 31250 Бајина Башта|Весна Ђурић|031/865-280|predsednica@bajinabasta.rs|Mладен Лукић|031/865-280|mlukic.77@gmail.com|Зорка Радоичић|031/865-281|nacelnik@bajinabasta.rs
Баточина|Краља Петра I 32, 34227 Баточина|Здравко Младеновић|034/684-2118|predsednik@sobatocina.org.rs|Марија Митрашиновић|034/6842-118|predsednikskupstine@sobatocina.org.rs|Nina Jevtić|034/6842-118|nacelnik@sobatocina.org.rs
Бач|Трг др Зорана Ђинђића 2, 21 420 Бач|Стева Панић|021/6070-075|predsednik@bac.rs|Драган Амиџић|021/6070-057 lokal 120|skupstina@bac.rs|Шпиро Шоргић|021/6070-075 lokal 124|nacelnik@bac.rs
Бачка Паланка|Краља Петра Првог 16, 21400 Бачка Паланка|Бранислав Шушница|021/210-1192|predsednikopstine@backapalanka.org.rs|Милан Чавић|021/2101-188|predsednikskupstine@backapalanka.org.rs|Рајка Појужина|021/2101-193|nacelnik@backapalanka.org.rs
Бачка Топола|Маршала Тита 30., 24300 Бачка Топола|Адриан Сатмари|024/715899|adrian.szatmari@btopola.org.rs|Саша Срдић|024/715-899|sasa.srdic@btopola.org.rs|Петер Седлар|024/715-899|peter.sedlar@btopola.org.rs
Бачки Петровац|Коларова 6 21470 Бачки Петровац|Јасна Шпрох|021/228-0378|opstina@backipetrovac.rs|Јан Јованкович|021/2280-378|jovankovicj@gmail.com|Душан Рашета|021/2280-378|nacelnik@backipetrovac.rs
Бела Паланка|Карађорђева 28,18310|Горан Миљковић|018/855-023|predsednik@belapalanka.org.rs|Александар Пејчић|018/855023|pejcicbp@gmail.com|Александра Ђорђевић|018/855-023|nacelnik.uprave@belapalanka.org.rs
Бела Црква|Милетићева бр.2 26340|Виолета Симић|013/853-326|kabinetbc@mobilpro.rs|Марјан Алексић|013/853-326|kabinetbc@mobilpro.rs|Петар Витомиров|013/851-224|nacelnik@opstinabc.rs
Београд|"Драгослава Јовановића 2
11000"|Александар Шапић|011/321-6104|gradonacelnik@beograd.gov.rs|Никола Никодијевић|011/3216-336|predsedniksgb@beograd.gov.rs|Мирјана Радановић|011/7157-425|nacelnik@beograd.gov.rs
Беочин|Светосавска 25, 21300 Беочин|Биљана Јанковић|021/870-536|biljana.jankovic@beocin.ls.gov.rs|Немања Вилић|021/870 536|nemanja.vilic@beocin.ls.gov.rs|Гордана Ћировић|021/870-260|gordana.cirovic@beocin.ls.gov.rs
Бечеј|Трг ослобођења бр,2 21220 Бечеј|Вук Радојевић|021/6811-815|predsednik@becej.rs|Игор Киш|021/6811-817|skupstina@becej.rs|Зоран Ковач|021/6811-820|nacelnik@becej.rs
